,premise1,premise2,conclusion
4950,barney has a scar on his ear,a scar is an acquired characteristic,barney's scar on his ear is an acquired characteristic
3531,soft is a kind of feeling,feathers are usually soft in sensation,a feather feels soft
480,fossil fuels are a nonrenewable resource,natural gas is a kind of fossil fuel,natural gas is a nonrenewable resource
1798,a spine is a part of a cactus that is hard and located on the outside of the cactus,something hard / something strong can be used for protection,a spine is a part of a cactus used for protection
3523,copper is an electrical conductor,wiring requires an electrical conductor,copper can be used in wiring
4495,absorbing sunlight causes objects to heat,drops of water are a kind of objects,absorbing sunlight will cause the drops of water to heat
4936,if an organism dies because of disease then the population of that organism will decrease,large birds are a kind of organism,if a large bird dies because of disease then the population of those large birds will decrease
3927,the increase of water tempreature has a negative impact on the survival of fish,hot weather causes the temperature of water in an environment to increase,hot weather has a negative impact on the survival of fish
4199,comets orbit the sun in an elliptiacal path,a comet is often made of ice,comet is likely an object that is mainly made of ice and orbitting the sun in an elliptical path
3884,a forest environment is dark in color,a bear's fur is dark in color,a bear's fur and a forest environment are both dark in color
3663,if farming technology is improved then the food produced by farming will increase,farming technology is improved,the food produced by farming will increase
1636,an organism having white fur is an adaptation for hiding in arctic environments,adaptation has a positive impact on the survival of individual organisms,an organism having white fur has a positive impact on that organism's survival in arctic environments
944,soil loss causes grooves in soil,soil erosion means soil loss through wind / water / animals,soil erosion caused by water will cause grooves in soil
1079,the electric motor in the fan causes the vanes in the fan to move,an example of mechanical energy is an object in motion,the electric motor in the fan causes the vanes to have mechanical energy
4748,the nervous system is used for controlling the muscles,to control something can mean to coordinate something,the nervous system is used for coordinating the muscles
4411,a decrease is a kind of change,cutting down trees in a forest causes the number of trees to decrease in that forest,cutting down trees in a forest causes that forest to change
3701,a new moon is a kind of phase of the moon,a moon phase occurs 28 days after the last time it occurred,a new moon will occur 28 days after the last time it occurs
2390,plants are a source of oxygen through photosynthesis,if something releases something else then that something is the source of that something else,plants release oxygen through photosynthesis
2063,carrying is a kind of function,red blood cells carry oxygen,the function of red blood cells is to carry oxygen
520,nonrenewable resources forming occurs over a period of millions of years,how many years something takes is a kind of period,nonrenewable resources forming can take millions of years
3763,photovoltaic cells use solar energy to produce electricity,solar energy is a renewable / inexhaustible resource,solar energy is a kind of renewable resource that is used by photovoltaic cells to produce electricity
2364,sunlight is a kind of solar energy,photosynthesis means green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves,photosynthesis means green plants convert from carbon dioxide and water and sunlight into carbohydrates and food and oxygen for themselves
3065,the shape of the beach ball will change,air takes the shape of the beach ball,the shape of the air in the beach ball will change with the shape of the beach ball
4989,a fruit fly is a kind of animal,animals reproduce sexually,fruit flies reproduce sexually
1518,an animal with white fur and snow are the same color,an example of camouflage is an animal having the same color as its environment,an example of camouflage is an animal with white fur in the snow
2940,reproductive behavior is a kind of instinct,an example of a reproductive behavior is salmon returning to their birthplace to lay their eggs,salmon returning to their birthplace to lay their eggs is a kind of instinct
678,animals / living things require water for survival,if a living thing requires something for survival then that living thing depends on that something,animals / living things depend on water
5075,comparing the mass of different objects requires using a balance for each object,a potato slice is a kind of object,comparing the mass of different potato slices requires using a balance for each potato slice
2544,preventing something decreases the amount of that something,curing something can mean decreasing the amount of that something,preventing / curing something can decrease the amount of that something
2666,the role of a mushroom is to break down dead organisms,a plant is a kind of organism,the role of a mushroom is to break down dead plants
2101,a body is a part of a living thing,food contains nutrients for living things,food contains nutrients for a living thing's body
1897,alligators eat frogs / turtles / fish / mice / birds,frogs / turtles / fish / mice / birds are kinds of animals,alligators eat animals
4820,if something is made up of something else then that something else can be found in that something,the earth 's atmosphere is made of 036 percent carbon dioxide by volume,carbon dioxide can be found in earth's atmosphere
1514,an animal having the same skin color as its environment is an adaptation for hiding in an environment,hiding is a kind of protection against predators,an animal having the same skin color as its environment is a kind of protection against predators
3439,salt will dissolve in water and form a solution,the student mixed salt with water,salt and water will form a solution
4431,decreasing the time spent taking a shower conserves water,to shorten something can mean to decrease something,shortening the time spent taking a shower conserves water
1551,an arctic fox is a kind of animal,if an animal 's fur is a color then that animal is that color,if an arctic fox's fur is a color then that arctic fox is that color
221,a freshwater mussel is a mussel lives in freshwater,a mussel is a kind of water animal,a freshwater mussel is a kind of water animal that lives in freshwater
4845,a bird is a kind of animal,a blue jay is a kind of bird,a blue jay is a kind of animal
4460,the top layer of soil contains the most nutrients,soil provides nutrients for plants,the top layer of soil provides the most nutrients for plants
3213,the outer electron shell is a part of the electron configuration,elements in group 18 have full / complete outer electron shells on the periodic table of elements,elements in group 18 have similar electron configuration
2197,a mitochondrion is a part of a cell,mitochondrea play a large role in energy processes within a body,mitochondria are a part of a cell that play a large role in energy processes in the body
1596,an example of camouflage is an organism looking like its environment,color is a property of something that describes how that something looks,an example of camouflage is organism having the same color as its environment
512,an automobile is a kind of vehicle,vehicles usually require gasoline to operate,automobiles usually require gasoline to operate
1669,an animal with radial symmetry can sense predators / food from all directions,being able to sense things from all directions has a positive impact on an animal's survival,radial symmetry has a positive impact on an animal's survival by allowing it to sense predators / food from all directions
970,cycles of freezing and thawing water cause mechanical weathering,mechanical weathering means breaking down rocks from a larger whole into smaller pieces by mechanical means,cycles of freezing and thawing water will break down rocks from larger whole into smaller pieces
2977,siberian tigers only have female tigers in the species,two females cannot usually reproduce with each other,all the siberian tigers in the species cannot reproduce
3969,rheumatoid arthritis occurs when the body attacks its own tissues,an autoimmune disease is when the body attacks its own tissues,rheumatoid arthritis is a kind of autoimmune disease
3325,the size of the metal railroad tracks will increase during the day,length is a part of size,the length of the metal railroad tracks will also increase during the day
4816,photosynthesis means producers / green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves,carbohydrates are made of sugars,photosynthesis means producers / green plants convert carbon dioxide and water and solar energy into sugar and food and oxygen for themselves
1281,sunlight is a kind of electromagnetic radiation that can shine through a window,electromagnetic radiation transfers heat and light energy by radiation,sunlight can transfer heat and light energy through a window by radiation
2546,research on a disease helps prevent / find a cure for that disease,preventing / curing disease has a positive impact on society,research on a disease has a positive impact on society by helping to prevent / cure that disease
2890,genes are similar to genetic material,sexual reproduction produces offspring with genetic material from both parents,sexual reproduction produces offspring with genes from both parents
3844,the heat will transfer from the hot egg to the cold water,receiving heat from a hot object will cause the cold object to decrease in heat,the cold water will increase in temperature
290,radiometric dating requires the radioactive isotope content of a rock,radiometric dating is used to identify / determine the absolute age of the rock,the radioactive isotope content of a rock can be used to identify the absolute age of the rock
1254,"if the particles are closer to each other, then the vibrations of particles will travel faster","particles in solid are closest to each other among gas, liquid, and solid state of matter",vibrations of particles will travel the fastest in solid state of matter
2177,the nervous system can be used for controlling the muscles of the body,muscular movement helps animals move,the nervous system can be used to control the muscles of the body to help the body move
1190,more water droplets are present in the air after the rain,light refracts when it passes through water droplets,light is more easily to be refracted after the rain
1013,the air mass formed close to the ocean is humid in moisture,boston is a city that is near to the coast of the atlantic ocean,the air mass in boston will be humid in moisture
4899,alligators eat animals,in the food chain process an animal has the role of consumer which eats producers / other animals for food,in the food chain process an alligator has the role of consumer
154,an object will weigh less but have the same mass on the moon than on earth,a rocket is a kind of object,the rocket will weigh less but have the same mass on the moon than on earth
3060,carbon dioxide is a new substance produced by sodium bicarbonate under proper conditions,chemical reactions cause new substances to form,sodium bicarbonate releasing carbon dioxide under proper conditions is a chemical reaction
1183,seeing requires light energy,if something is required for something else then that something allows that something else,light energy allows things to be seen
2469,pollination by insects has a positive impact on plant reproduction,crops are a kind of edible plant for eating,pollination by insects has a positive impact on crop reproduction
3458,the solute will be separated from the solution,sugar is the solute,sugar will be separated from the solution
2237,the skeletal system protects internal organs,most major organs are internal organs,the skeletal system protects most major organs
475,geothermal energy can be found in nevada,geothermal energy is a renewable resource,geothermal energy is a renewable resource that can be found in nevada
596,terraces prevent soil erosion on a slope,building terraces on a slope increases the amount of terraces on that slope,building terraces on a slope prevents soil erosion on that slope
2339,dead organism parts contain nutrients for decomposers,decomposition is when a decomposer returns nutrients from dead organisms to the soil by eating those dead organisms,decomposition can be when a decomposer returns nutrients from dead organism parts to the soil by eating those dead organism parts
745,mercury is dumped into a bay with plankton,microorganisms change mercury in a bay into a form that plankton can use,mercury is changed into a form that plankton can use in a bay with plankton
4900,in the food chain process herbivores have the role of primary consumer which eats producers for food,green plants are a kind of producer,in the food chain an herbivore eats plants
2523,oxygen can be found in air,an animal / bacterium requires oxygen for survival / to breathe,an animal requires air for survival
5120,"if the transportation technology for food increases, then the avilable types of food in distant locations will increase",hawaii is located far from the united states mainland,"if the transportation technology for food increases, then the avilable types of food in hawaii will increase"
1482,animals must move to an environment with more food in the winter,a warm environment usually has more food than a cold environment,animals must move to a warmer environment during the winter to find food
1244,air is a matter made of air particles,sound requires matter to travel,sound can travel through air
3808,"when an animal moves , chemical energy is converted to mechanical energy",a person is a kind of animal,"when a person moves, chemical energy is converted to mechanical energy"
5015,rubbing rubber on wool causes static electricity on rubber and wool,"static electricity can attract small, light-weighted object","rubbing rubber on wool can cause rubber to attract small, light-weighted object"
1396,an example of metamorphosis is when a tadpole changes from a an immature form to and adult form,the imature form of a frog is called a tadpole and the adult form of a tadpole is called a frog,an example of metamorphosis is when a tadpole changes from a tadpole into a frog
1594,avoiding predators has a positive impact on an organism 's survival,an animal is a kind of organism,avoiding predators has a positive impact on an animal's survival
542,a river is a kind of flowing / moving body of water,moving water on earth is a part of water cycle,water in a river is part of the water cycle
3038,burning paper with fire is a kind of chemical reaction,chemical reactions cause chemical change,burning paper with fire causes chemical change
4749,nerves are made of nerve cells,the nervous system contains nerves,the nervous system contains nerve cells
3434,iron sulfide is made of a mixture of iron and sulfur being heated,iron and sulfur are two elements,iron sulfide is made of two elements
1649,black ink in water causes predators to have difficulty seeing,octopuses release black ink into water,octopuses releasing ink into the water causes predators to have difficulty seeing the octopus
3460,evaporation can be used to separate a solution by allowing the solvent to evaporate,water is the solvent,the solute water will evaporate from the solution
602,if something provides something else then that something increases the amount of that something else,an increase in the amount of something causes there to be more of something,if something provides something else then that something causes there to be more of something else
3299,the melting point of water is lower than the melting point of iron,the melting point of oxygen is lower than the melting point of water,the melting point of oxygen is lower than water and the melting point of water is lower than iron
660,cut trees are a kind of resource that are needed to make paper,recycling reduces the resources needed to make something,recycling paper reduces the amount of trees that need to be cut
3204,te is a kind of metalloid,sb is a kind of metalloid,sb and te are both metalloids
2564,exercise has a positive impact on a human 's health,a good health habit causes a living thing to be healthy,exercising is a good health habit
667,cut trees are a kind of resource that is needed to make paper,recycling reduces the resources needed to make something,recycling paper reduces the cutting of trees
2805,if an animal eats another animal then the animal will be the predator and the other animal will be the prey,fish eat insects,fish are predators to insects and insects are prey to fish
3390,an ant is small in size,seeing small things is difficult,seeing an ant is difficult because an ant is small in size
37,the earth rotates on its tilted axis,earth is a kind of planet,the earth is a planet that rotates on its tilted axis
361,a stage in the formation of sedimentary rock is rock being weathered and then deposited,weathering and deposition are kinds of processes,a process in the formation of sedimentary rock is rock being weathered and then deposited
4349,ethanol is a kind of resource,"as the use of a resource increases, the use of materials that resource is made out of increases","as the use of ethanol increases, the use of materials that ethanol is made out of increases"
3855,compression waves produces compressions and rarefactions,longitudinal waves travel through pattern of compressions and rarefactions,longitudinal waves are also called compression waves
3895,claws are used by some predators to catch food,some birds are predators,claws are used by some birds to catch food
4464,trees are a kind of organism that require a certain thickness of soil to grow,the decrease of something required by an organism has a negative impact on that organism 's survival,a decrease in soil thickness can cause harm to trees
557,soil provides nutrients that plants need to grow,some minerals are nutrients,soil provides minerals that plants need to grow
56,1 month is equal to 27-31 days,a complete revolution / orbit of the moon around the earth takes 1 / one month,a complete revolution of the moon around the earth takes around 27 to 31 days
18,alaska is a state located in the united states of america,united states is located in the northern hemisphere,alaska is located in the northern hemisphere
1301,a roller skate requires smooth surfaces,a blacktop has a smooth surface,a roller skate can be used on a blacktop surface
1265,steam can be used to cook food by adding heat to the food,adding heat to something means trasferring heat to that something,steam can be used to cook food by transferring heat to the food
3820,to add something means to increase something,warm / becoming warm means heat is added,warm / becoming warm means heat increases
2839,an example of a living thing depending on another living thing to survive is an animal eating a plant,a moose is a kind of animal,an example of a living thing depending on another living thing to survive is a moose eating a plant
3431,sugar will form a solution when it dissolves in water,when one substance is dissolved in another substance then the molecules of that other substance exist in solution,sugar molecules exist in solution when it forms solution with water
248,fossils can be found in limestones,a fossil seashell is a kind of fossil,a fossil seashell can be found in a limestone
1599,an arctic fox's fur is dark grey or brown in the summer and white in the winter,if an arctic fox's fur is a color then that arctic fox is that color,an arctic fox is dark grey or brown in the summer and white in the winter
4087,light is a kind of nonliving thing,sunlight is a kind of light,sunlight is a nonliving thing
4718,the circulation of blood transports oxygen throughout the body,red blood cells are a part of blood,red blood cells carry oxygen throughout the body
23,a complete rotation of the earth on earth 's axis / itself takes 1 / one day,1 day is equal to 24 hours,a complete rotation of the earth takes 24 hours
392,the formation of something is a kind of process,"if a process follows another process, then the other process begins that process","if the formation of something follows another process, then the other process begins the formation of that something"
3706,marine fossils means fossils of marine animals,marine animals are water animals,marine fossils are fossils of water animals
1972,the heart pumping blood causes the rest of the body to recive oxygen,"as the rate of a heart beating increases , the rate of the blood traveling to the rest of the body will increase","as the rate of heart beating increases, the amount of oxygen being recived by the rest of the body increases"
4440,fish live in ponds,a fish is a kind of organism,a fish is a kind of organism that lives in ponds
3903,increasing the size of a leaf has a positive impact on that leaf's ability to absorb sunlight,a leaf is a part of a plant used for absorbing sunlight to perform photosynthesis,increasing the size of a plant' leaves has a positive impact on a plant's ability to perform photosynthesis
1747,a something becomes larger it is able to act upon more of something else,fins move animals through water by pushing against water,"the larger and animal's fin is, the more water it can push against"
4849,bears eat berries that contain seeds,an example of seed dispersal is animals eating / excreting seeds,an example of seed dispersal is bears eating berries that contain seeds
2072,digestion is when food is absorbed into the blood stream,the digestive system digests food for the body,the digestive system absorbs food into the blood stream
2617,a decomposer recycles nutrients from dead organisms into the soil,recylcing is a kind of function,a function of decomposers is to recycle nutrients into the soil
4827,some birds eat nectar,a bird is a pollinating animal,some birds are pollinating animals that eat nectar
3405,centimeter is usually used to measure short length,a string is short in length,centimeter is a better unit to measure the length of the string
553,aluminum is recyclable,aluminum is a nonrenewable resource,aluminum is a nonrenewable resource that is recyclable
2643,scavengers decrease the amount of dead organisms,"as the amount of dead organisms decreases, the amount of disease will decrease",scavengers decrease the amount of disease
3262,the pan will become hot,a pan is a kind of object,the hot pan is a kind of hot object
3023,nails in contact with water and oxygen will rust,rust forming is a kind of chemical change,nails rusting in water is a kind of chemical change
2712,in the photosynthesis process carbon dioxide / water / sunlight has the role of raw material,photosynthesis means producers / green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves,photosynthesis means green plants convert solar energy and raw materials into food and oxygen
4281,light and dark are different,light and dark are kinds of color,light and dark are different kinds of colors
4141,a graduated cylinder can be used to measure the volume of liquid water,a graduated cylinder can be used to measure the volume of solid water ice,a graduated cylinder can be used to measure the volume of liquid water and solid water ice
1838,coloration is an adaptation for reproduction for animals,brook trout have a bright orange coloration on their bellies,bright orange bellies are an adaptation for reproduction for brook trout
2670,a producer is a kind of organism,a producer produces its own food,a producer is a kind of organism that produces its own food
3865,a plant is a kind of organism,plants are part of the bilogical kingdom plantae,plants are kinds of organisms that are part of the biological kingdom plantae
2350,photosynthesis converts solar energy into chemical energy,a leaf performs photosynthesis,a leaf converts solar energy into chemical energy
2986,fire causes the candle to burn,fire is a kind of chemical reaction,the candle is undergoing a chemical reaction
4778,objects that are more exposed to sunlight are ideal for absorbing sunlight,a large surface area is more exposed to sunlight,objects with a large surface area are ideal for absorbing sunlight
4559,if heat is conducted to a spoon then that spoon will become hot,the spoon in the hot chocolate will become hot,heat is transferred to the spoon from the hot chocolate through conduction
1661,spotted is a kind of coloration,a spotted means having spots,spots are a kind of coloration
1730,birds with beaks of different shapes eat different foods,something skinny can obtain something from a small place,a skinny beak is used for obtaining food by a bird from small spaces
3721,classifying is when one sorts something by class,class is a measure of how a rock is formed,rocks can be classified by how they are formed
1602,an arctic environment is dark gray or brown in the summer,an arctic environment is white in the winter,an arctic environment is dark gray or brown in the summer and white in the winter
169,a full moon will occur 28 days after the last time it occurs,1 month is equal to 28-31 days,a full moon will occur after 1 month it occurs
2692,if the photosynthesis process converts something into something else then that something has the role of raw material in the photosynthesis process,photosynthesis means producers / green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves,in the photosynthesis process carbon dioxide / water / sunlight has the role of raw material
3108,mercury is made of mercury atoms,atom is a kind of particle,mercury is made of atom particles
1892,"as a resource required by an organism decreases , the competition among organisms that require that resource will increase",a living thing is an organism,"as a resource required by a living thing decreases, the competition among living things that require that resource will increase"
1045,collection in bodies of water happens after precipitation and runoff,collection in water cycle is when precipitation is collected in bodies of water,precipitation will be collected in bodies of water after precipitation and runoff
1699,an animal requires warmth in cold temperatures,thick fur can be used for keeping warm,thick fur can be used by animals for survival in cold temperatures
1241,a thunder can move objects by making them vibrate through intense sound energy,a window is a kind of object,a thunder can move a window by making them vibrate through intense sound energy
4921,plants provide food for themselves by converting sunlight into carbohydrates,some food contains carbohydrates,plants provide food for themselves by converting sunlight into food
5051,water is decreasing in temperature,"as the temperature of a substance decreases , the molecules in that substance will move slower / closer",the molecules in water will move slower when the water is decreasing in temperature
4614,a butterfly is a kind of insect,metamorphosis is when an insect changes from an immature form to an adult form,an example of metamorphosis is when a butterfly changes from an immature form to an adult form
4229,"during the quarter moon phases, the height of ocean tides will be the lowest",quarter moon phases are made of the first quater moon phase and the last quater moon phase,the height of ocean tides will be the lowest during the first quater and the last quater moon phase
1365,plants and animals are different kinds of eukaryotes,plants and animals use different methods to obtain nutrients,different kinds of eukaryotes use different methods for obtaining nutrients
4799,taking something in is a kind of method for obtaining something,if something requires something else then that something must obtain that something else,if something requires something else then that something can take in that something else
3435,iron sulfide is made of two elements,a compound is made of two or more elements chemically combined,iron sulfide is a compound
2238,a disease causes bones become weak and brittle,to become something is a kind of change,a disease causes bones to change
3670,a circle graph / pie graph can be used to display percents / ratios,the percent of various materials in solid waste needs to be presented in a type of graph,the percent of various materials in solid waste can be presented in a circle graph
42,it is winter in north pole on december 22,"as the distance of a location from the north pole becomes smaller / closer , the amount of daylight received by that location will decrease during the winter",the north pole will receive the least daylight during winter on december 22
489,an electrical device uses alternative fuel to operate,an electric motor is a kind of electrical device,an electric motor uses alternative fuel to operate
2230,texture is a kind of physical property,physical properties can be detected by feeling,texture can be detected by feeling
2645,decreasing disease has a positive impact on organisms,an ecosystem contains a large community of / large numbers of living organisms,decreasing disease has a positive impact on an ecosystem
2952,a human is a kind of animal,the length of the hair of an animal is an acquired characteristic,the hair length of a human is an acquired characteristic
4685,an adaptation is a kind of change in response to a change in an environment,an example of change in organisms is the development of new traits,adaptation is when organisms develop new traits as a response to changes in their environment
4355,"as the use of ethanol increases, more farm land will be used",if more farm land is used then the amount of available farm land will decrease,"as the use of ethanol increases, the amount of available farm land will decrease"
1299,a roller skate is a kind of wheeled vehicle,a wheeled vehicle requires smooth surfaces,a roller skate requires smooth surfaces
2443,producing offspring encures the continuation of a plant or animal species,reproduction produces / produce offspring,reproduction ensures the continuation of a plant or animal species
647,wood is a kind of resource that is required for frame construction,if frame construction requires a resource then frame construction predominates in areas with an abundance of that resource,frame construction predominates in areas with an abundance of wood
2159,a squid produces thrust by pushing water out of its body,a rocket engine is used to produce thrust by pushing gases out at a high speed,a squid and a rocket engine both produce thrust
1366,eukaryotes are a kind of thing,if things can be identified as different because of something then they are distinguishable by that something,if eukaryotes can be identified as different because of something then they are distinguishable by that something
3800,pouring water onto soil causes that soil to wash away,soil erosion is when moving water moves soil from fields / environments,pouring water onto soil causes soil erosion
330,great can mean high in value,extreme means very high in value,extreme can mean great
5068,comparing the volume of different objects requires measuring the volume for each object,a graduated cylinder can be used to measure the volume of objects,comparing the volume of different objects requires using a graduated cylinder for each object
890,earthworms create tunnels in soil,tunnels in soil loosen that soil,earthworms can loosen the soil
3596,smooth is a kind of texture,texture is a property of objects and includes ordered values of smooth or rough,smooth can be used to describe the texture of an object
4347,surface mining removes parts from the lithosphere and biosphere,removing a part of something affects that something,surface mining affects the lithosphere and biosphere
1881,a drought can cause a pond to no longer exist,if an animal 's habitat no longer exists then that animal will die,a drought can cause animals that live in ponds to die
2,apparent motion of stars is when stars appear to move relative to earth's position,the earth rotating on its axis causes stars to appear to move across the sky at night,the earth rotating on its axis causes apparent motion of stars
3535,measuring the hardness of minerals requires scratching those materials,comparing requires measuring,to compare the hardness of minerals requires scratching those materials
385,if an event changes something then that event causes that change,the convergence of tectonic plates is a kind of event,if the convergence of tectonic plants changes something then it causes that change
2075,the circulatory system carries food from the digestive systems to the rest of the body using blood,food contains nutrients for living things,the circulatory system carries nutrients from the digestive system to the rest of the body using blood
4031,if something is required for a process then that process may occur if that something is provided,a plant requires soil for to grow,a plant may grow if it soil is provided
3129,atomic mass is determined by the number of protons and neutrons,atomic number is only determined by the number of proton of an element,the difference between atomic mass and atomic number is the number of the neutrons in an element
4209,earth is a kind of celestial object,earth is located in the milky way galaxy,earth is a celestial object located in the milky way galaxy
3550,sand is always nonmagnetic,a magnet will not attract nonmagnetic materials,a magnet will not attract sand
898,plants can decrese the nutrients in soil,a rainforest contains lots of plants,the soil in a rainforest can be low in nutrients
4859,photosynthesis means green plants convert carbon dioxide and water and solar energy into sugars and food and oxygen,if a process converts something into something else then that process is a source of that something else,photosynthesis is a source of sugars
833,tuna is a kind of predator,tuna is a kind of fish,tuna is a kind of predatory fish
1626,coloration is a kind of adaptation for hiding,animals adapt to their environment,coloration is a kind of adaptation for hiding in an environment
2333,if a zygote is formed then a sexual reproduction process has happened,a student observes the formation of zygotes by one of the protists,a sexual reproduction process has happened in the protists that the student observed
3481,"a mixture of iron, plastic, glass, and aluminum is a mixture of magnetic and nonmagnetic material",magnet can be used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material,"a magnet can separate iron from plastic, glass, and aluminum"
4830,a flower produces nectar,a flower is a part of a plant for attracting pollinators / producing seeds,a flower is a part of a plant for attracting pollinators that produces nectar
1940,algae are often restricted to the top 100 meters of the ocean,if an organism is restricted to an area then that organism can only live in that area,algae often can only live in the top 100 meters of the ocean
2255,arizona mountain king snakes have a similar coloration to a dangerous animal,coloration is a kind of adaptation for hiding / camouflage,arizona mountain king snakes camouflage themselves as a dangerous animal
4005,chloroplast can be found in a plant cell,only plant cells have chloroplast,chloroplast can only be found in a plant cell
487,"as the use of alternative fuels increases , the use of gasoline will decrease",if a certain something decreases the use of a resource then that certain something uses less of that resource than a regular something,something that uses alternative fuels uses less gasoline than a regular something
4257,metamorphic is a class of rock,sedimentary is a class of rock,sedimentary and metamorphic are different classes of rock
5041,elements in group 1 will have similar properties to sodium,"potassium belongs to alkali metals , group 1 on the periodic table",potassiumn has similar properties to sodium
564,crops rely on nutrients in soil to grow,high quality / rich / good soil has a high number of nutrients / amount of nitrogen,crops rely on high quality soil to grow
4701,a farm is a kind of environment,farming happens on a farm,farming happens in an environment
1033,transpiration is a stage in the water cycle process,transpiration is when water vapor moves from plants into the atmosphere,transpiration of plants is a stage in the water cycle process by moving water vapor from plants to atmosphere
2341,the leaf part of a plant makes food by photosynthesis,a pine tree is a kind of plant,the leaf part of a pine tree makes food by photosynthesis
419,coal is acquired by mining the lithosphere,uranium is acquired by mining the lithosphere,uranium and coal are both acquired by mining the lithosphere
4365,erosion sometimes decreases the amount of nutrients in soil,water can cause erosion,water can decrease the amount of nutrients in soil
1486,young birds are born as a result of reproduction,many birds reproduce during spring,many young birds are born during spring
813,pesticides can cause pollution,fertilizers are a source of pollution,pesticides and fertilizers are source of pollution
1973,muscle cells are a part of muscles,muscels are a part of the body,muscle cells are a part of the body
2848,some microorganisms are benificial to human body,some disease-causing microbes are harmful to human body,the relationship between human and microorganisms is sometimes beneficial and sometimes harmful
4196,the milky way is a kind of galaxy,a galaxy is made of stars,the milky way is made of stars
2533,eating a kind of food can prevent scurvy,scurvy is a kind of disease,eating a kind of food can prevent a disease
5133,scientists go to a lake once a month to take samples of water,taking samples of water is used for studying the quality of water,scientists are studying the quality of the water in the lake
2866,an organism 's environment affects that organism 's acquired characteristics,the condition of parts of an organism are acquired characteristics,an organism's environment affects the condition of parts of an organism
2657,a leaf is a part of a green plant,a plant is a kind of organism,a leaf is a kind of organism
4585,an amphibian does not have fur,amphibian is a kind of taxonomic group of animals,animals in the taxonomic group amphibian do not have fur
4646,shedding fur is a kind of method for changing fur color,if an animal 's fur is a color then that animal is that color,shedding fur is a kind of method for changing color
484,"as the use of gasoline decreases, the length of time that gasoline is available will increase","as mileage per gallon of gasoline increases , the amount of gasoline used will decrease","as mileage per gallon of gasoline increases, the length of time that gasoline is available will increase"
4818,photosynthesis means producers / green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves,carbohydrates are made of sugars,photosynthesis means producers / green plants convert from carbon dioxide and water and solar energy into sugars and food and oxygen for themselves
4389,decreasing tree roots causes soil erosion to increase,clearing trees from a forest causes the number of tree roots to decrease,clearing trees from a forest causes soil erosion to increase in that forest
1782,sensing echos can be used for hunting prey,echolocation is when some animals detect objects by hearing echoes by emitting sound,echolocation can be used for hunting prey
3565,the spoon is touching the soup,heat energy is added to the soup,heat energy is added to soup that is touching the spoon
2719,green plants provide food for consumers,food is a source of energy for animals / plants,producers provide energy for consumers
3331,substances are made of molecules,gas is a kind of substance,a gas is made of its molecules
1179,cars parked outside will be heated by absorbing sunlight,sunlight is a kind of light,cars parked outside will be heated by absorbing light
1344,fungi have no chlorophyll and fungi can be multicellular,fungi absorb nutrients from decaying tissue,fungi have no chlorophyll and fungi can be multicellular and fungi absorb nutrients from decaying tissue
3467,aluminum cans are made of aluminums,aluminum is always nonmagnetic,aluminum cans are nonmagnetic
340,"metamorphic rock is formed from limestone being compacted, heated, and recrystallized",marble is a kind of metamorphic rock,"marble is formed from limestone being compacted, heated, and recrystallized"
246,"bones remains, shells remians, and plants remains are fossils",containing fossils is a kind of characteristic of sedimentary rock,"if a rock contains bones remains, shells remians, or plants remains, then the rock is a sedimentary rock"
1417,larger means increased size,growth means size increases,things that grow become larger
123,stars are mostly made of hydrogen and helium,stars generally have the same chemical composition,stars generally have the same chemical composition of hydrogen and helium
1810,plant reproduction requires pollinators,increasing the amount of something used by a plant to perform a process increases that plant's ability to perform that process,"as the number of pollinators attracted to  a plant increases , the ability of that plant to reproduce will increase"
637,organisms require nutrients to grow,if an organism requires something then that something has a positive impact on that organism,nutrients have a positive impact on organisms
2630,microorganisms cause dead organisms to decay,if something cause something else to happen then that something is responsible for that something else,microorganisms are resposible for the decay of dead organisms
3173,the number in chemical formula of water shows the number of atoms of each element in a water molecule,water is made of hydrogen and oxygen,the number in chemical formula of water shows the number of hydrogen and oxygen in a water molecule
2779,plants require energy from sunlight for survival,if a plant requires something then that plant must get that something,a plant must get energy from sunlight for survival
2322,a liver cell is a kind of somatic cell,a somatic cell of a human contains 23 pairs of / 46 chromosomes,a liver cell of a human contains 23 pairs of chromosomes
4607,animals with similar characteristics might share a common ancestor,if an animal evolved from another animal in recent geological history then the changes in traits will be less significant,animals with similar characteristics might have evolved from a common ancestor in recent geological history
3609,matter in gas phase has variable volume and shape,matter with variable volume and shape expands to fill the shape and size of its entire container,gas will expand to fill the shape of the container
1017,the equator receives more direct sunlight than the poles on earth,"if something receives sunlight, it will absorb the sunlight",the equator will abosrb more direct sunlight than the poles on earth
4700,farming is when a human plants a large amount of crops,crops require water to grow,farming requires a large amount of water
77,the new moon is when the moon is in between the sun and the earth,the new moon is when the dark half of the moon faces the earth,the new moon is when the moon could block the earth from the sun
3279,the water will be cooled in the freezer,cooling means removing heat,cooling water will remove the heat from water
